name,title,price,area,road_width,corner
La Dimora City,Residential Land / Plots  in Sector 97,9331000,129.0,,False
Indraprastha Greens,Residential Land / Plots  in Sector 97,9348000,103.0,,False
Emarald Gulmohar,Residential Land / Plots  in Tajupur,9500000,100.0,,False
Adore Smart City 2,Residential Land / Plots  in Tajupur,9000000,100.0,,False
BPTP District 6 Block L,Residential Land / Plots  in Sector 84,18300000,118.0,,False
Amolik Aster Woods,Residential Land / Plots  in Sector 98,11800000,94.0,,False
Optus Greens,Residential Land / Plots  in Sector 63,9151000,107.67,,False
Soha Olive Town,Residential Land / Plots  in Sector 98,17900000,137.0,,False
Landspect Anushree Greens,Residential Land / Plots  in Tajupur,11200000,124.0,,False
Amolik Concordia Living,Residential Land / Plots  in Tajupur,18600000,185.0,,False
Godrej Retreat 1,Residential Land / Plots  in Sector 83,13100000,109.0,,False
BPTP District 5,Residential Land / Plots  in Sector 84,16500000,100.0,,False
"Residential Land / Plot  in Tajupur, Faridabad","Residential Land / Plot  in Tajupur, Faridabad",12800000,104.0,21.95,True
Mansha Orchid,Residential Land / Plots  in Sector 110,6750000,90.0,,False
Omaxe City,Residential Land / Plots  in Sector 97,11500000,100.0,,False
Mansha Oaks,Residential Land / Plots  in Sector 98,9900000,100.0,,False
BPTP District 3,Residential Land / Plots  in Sector 84,18000000,100.0,,False
BPTP Parklands Pride,Residential Land / Plots  in Sector 85,37500000,250.0,,False
Adore Smart City,Residential Land / Plots  in Sector 97,9900000,110.0,,False
"Residential Land / Plot  in Sector 97, Faridabad","Residential Land / Plot  in Sector 97, Faridabad",12100000,155.0,10.06,False
HUDA Plots,Residential Land / Plots  in Sector 78,16299999,121.0,,False
Soha Neal City,Residential Land / Plots  in Sector 98,11399999,120.0,,False
"Residential Land / Plot  in Sector 98, Faridabad","Residential Land / Plot  in Sector 98, Faridabad",16600000,126.0,8.23,False
"Residential Land / Plot  in Bhopani, Faridabad","Residential Land / Plot  in Bhopani, Faridabad",4800000,355.0,18.29,True
"Residential Land / Plot  in Sector 98, Faridabad","Residential Land / Plot  in Sector 98, Faridabad",32200000,180.0,10.97,False
"Residential Land / Plot  in Sector 83, Faridabad","Residential Land / Plot  in Sector 83, Faridabad",19500000,108.0,7.32,False
"Residential Land / Plot  in Sector 85, Faridabad","Residential Land / Plot  in Sector 85, Faridabad",21000000,125.0,27.43,True
"Residential Land / Plot  in Tajupur, Faridabad","Residential Land / Plot  in Tajupur, Faridabad",13500000,150.0,8.23,False
"Residential Land / Plot  in Tajupur, Faridabad","Residential Land / Plot  in Tajupur, Faridabad",12000000,150.0,8.23,False
"Residential Land / Plot  in Sector 113, Faridabad","Residential Land / Plot  in Sector 113, Faridabad",14400000,200.0,10.97,False
"Residential Land / Plot  in Sector 68, Faridabad","Residential Land / Plot  in Sector 68, Faridabad",9500000,108.0,12.19,True
"Residential Land / Plot  in Sector 98, Faridabad","Residential Land / Plot  in Sector 98, Faridabad",24800000,180.0,9.14,False
"Residential Land / Plot  in Maujpur, Faridabad","Residential Land / Plot  in Maujpur, Faridabad",36700000,1530.0,20.12,False
"Residential Land / Plot  in Sector 84, Faridabad","Residential Land / Plot  in Sector 84, Faridabad",21000000,127.0,9.14,True
"Residential Land / Plot  in Sector 85, Faridabad","Residential Land / Plot  in Sector 85, Faridabad",37500000,250.0,3.66,False
"Residential Land / Plot  in Sector 98, Faridabad","Residential Land / Plot  in Sector 98, Faridabad",10000000,113.0,3.66,False
"Residential Land / Plot  in Sector 85, Faridabad","Residential Land / Plot  in Sector 85, Faridabad",48000000,250.0,12.8,False
"Residential Land / Plot  in Sector 69, Faridabad","Residential Land / Plot  in Sector 69, Faridabad",7200000,,12.0,False
"Residential Land / Plot  in Sector 98, Faridabad","Residential Land / Plot  in Sector 98, Faridabad",25000000,180.0,9.14,False
"Residential Land / Plot  in Sector 70, Faridabad","Residential Land / Plot  in Sector 70, Faridabad",12300000,137.0,9.14,True
"Residential Land / Plot  in Pocket 2, Sector 5, Faridabad","Residential Land / Plot  in Pocket 2, Sector 5, Faridabad",73500000,,10.0,False
"Residential Land / Plot  in Sector 85, Faridabad","Residential Land / Plot  in Sector 85, Faridabad",50800000,277.78,3.66,False
"Residential Land / Plot  in Sector 98, Faridabad","Residential Land / Plot  in Sector 98, Faridabad",24300000,180.0,9.14,False
"Residential Land / Plot  in Sector 68, Faridabad","Residential Land / Plot  in Sector 68, Faridabad",12500000,166.67,12.19,False
"Residential Land / Plot  in Sector 85, Faridabad","Residential Land / Plot  in Sector 85, Faridabad",50500000,277.78,3.66,False
"Residential Land / Plot  in Sector 78, Faridabad","Residential Land / Plot  in Sector 78, Faridabad",40000000,250.0,12.19,False
"Residential Land / Plot  in Sector 75, Faridabad","Residential Land / Plot  in Sector 75, Faridabad",31500000,209.0,10.97,False
"Residential Land / Plot  in Tajupur, Faridabad","Residential Land / Plot  in Tajupur, Faridabad",13000000,143.0,8.23,False
"Residential Land / Plot  in Sector 16, Faridabad","Residential Land / Plot  in Sector 16, Faridabad",32799999,160.0,29.57,False
"Residential Land / Plot  in Sector 98, Faridabad","Residential Land / Plot  in Sector 98, Faridabad",23500000,179.0,9.14,False
"Residential Land / Plot  in Tajupur, Faridabad","Residential Land / Plot  in Tajupur, Faridabad",11500000,128.0,2.74,False
"Residential Land / Plot  in Tajupur, Faridabad","Residential Land / Plot  in Tajupur, Faridabad",28500000,190.0,10.06,True
"Residential Land / Plot  in Sector 84, Faridabad","Residential Land / Plot  in Sector 84, Faridabad",23900000,145.0,8.23,True
"Residential Land / Plot  in Tajupur, Faridabad","Residential Land / Plot  in Tajupur, Faridabad",13200000,150.0,8.23,False
"Residential Land / Plot  in Tajupur, Faridabad","Residential Land / Plot  in Tajupur, Faridabad",13500000,150.0,8.23,False
"Residential Land / Plot  in Tajupur, Faridabad","Residential Land / Plot  in Tajupur, Faridabad",11000000,125.0,9.14,False
"Residential Land / Plot  in Sector 98, Faridabad","Residential Land / Plot  in Sector 98, Faridabad",19600000,163.0,0.91,False
"Residential Land / Plot  in Tajupur, Faridabad","Residential Land / Plot  in Tajupur, Faridabad",10100000,127.0,8.23,True
"Residential Land / Plot  in Sector 16A, Faridabad","Residential Land / Plot  in Sector 16A, Faridabad",31500000,160.0,29.57,False
"Residential Land / Plot  in Sector 28, Faridabad","Residential Land / Plot  in Sector 28, Faridabad",65599999,350.0,30.48,False
"Residential Land / Plotin Sector 65, Faridabad","Residential Land / Plotin Sector 65, Faridabad",28000000,160.0,10.97,False
"Residential Land / Plotin Sector 98, Faridabad","Residential Land / Plotin Sector 98, Faridabad",16600000,126.0,8.23,False
"Residential Land / Plotin Tajupur, Faridabad","Residential Land / Plotin Tajupur, Faridabad",13500000,150.0,8.23,False
"Residential Land / Plotin Sector 85, Faridabad","Residential Land / Plotin Sector 85, Faridabad",62500000,350.0,10.06,True
"Residential Land / Plotin Sector 85, Faridabad","Residential Land / Plotin Sector 85, Faridabad",78000000,500.0,10.06,True
"Residential Land / Plotin Sector 68, Faridabad","Residential Land / Plotin Sector 68, Faridabad",9500000,108.0,12.19,True
"Residential Land / Plotin Basantpur, Faridabad","Residential Land / Plotin Basantpur, Faridabad",425000,34.0,6.1,False
"Residential Land / Plotin Sector 17, Faridabad","Residential Land / Plotin Sector 17, Faridabad",49200000,250.0,29.26,False
"Residential Land / Plotin Sector 98, Faridabad","Residential Land / Plotin Sector 98, Faridabad",15600000,160.0,27.43,True
"Residential Land / Plotin Rajinder Singh Market, Sector 28, Faridabad","Residential Land / Plotin Rajinder Singh Market, Sector 28, Faridabad",85000000,566.0,18.29,False
"Residential Land / Plotin Sector 64, Faridabad","Residential Land / Plotin Sector 64, Faridabad",9500000,60.0,,False
"Residential Land / Plotin Parvatiya Colony, Sector 52, Faridabad","Residential Land / Plotin Parvatiya Colony, Sector 52, Faridabad",6000000,150.0,4.57,False
"Residential Land / Plotin Roshan Nagar, Faridabad","Residential Land / Plotin Roshan Nagar, Faridabad",600000,50.0,5.49,False
"Residential Land / Plotin Tajupur, Faridabad","Residential Land / Plotin Tajupur, Faridabad",12000000,150.0,8.23,False
"Residential Land / Plotin Tajupur, Faridabad","Residential Land / Plotin Tajupur, Faridabad",15500000,180.0,8.23,False
"Residential Land / Plotin Tajupur, Faridabad","Residential Land / Plotin Tajupur, Faridabad",14600000,180.0,8.23,False
"Residential Land / Plotin Palwali, Faridabad","Residential Land / Plotin Palwali, Faridabad",5900000,125.0,10.97,False
"Residential Land / Plotin Kabulpur Bangar, Faridabad","Residential Land / Plotin Kabulpur Bangar, Faridabad",2000000,86.0,,False
"Residential Land / Plotin Sector 16A, Faridabad","Residential Land / Plotin Sector 16A, Faridabad",56000000,250.0,54.86,False
"Residential Land / Plotin Sector 16A, Faridabad","Residential Land / Plotin Sector 16A, Faridabad",49600000,250.0,29.57,False
"Residential Land / Plotin Sector 16A, Faridabad","Residential Land / Plotin Sector 16A, Faridabad",71500000,350.0,30.48,False
"Residential Land / Plotin Sector 16A, Faridabad","Residential Land / Plotin Sector 16A, Faridabad",55000000,250.0,12.8,False
"Residential Land / Plotin Phase 1, Sector 89, Faridabad","Residential Land / Plotin Phase 1, Sector 89, Faridabad",27500000,172.0,,False
"Residential Land / Plotin Sector 98, Faridabad","Residential Land / Plotin Sector 98, Faridabad",15000000,136.0,9.14,False
"Residential Land / Plotin Tajupur, Faridabad","Residential Land / Plotin Tajupur, Faridabad",14500000,180.0,8.23,False
"Residential Land / Plotin Sector 97, Faridabad","Residential Land / Plotin Sector 97, Faridabad",11700000,150.0,8.23,False
"Residential Land / Plotin Sector 85, Faridabad","Residential Land / Plotin Sector 85, Faridabad",34200000,180.0,10.06,True
"Residential Land / Plotin Sector 59, Faridabad","Residential Land / Plotin Sector 59, Faridabad",300000,30.0,6.1,True
"Residential Land / Plotin Nacholi, Faridabad","Residential Land / Plotin Nacholi, Faridabad",1160000,116.0,,False
"Residential Land / Plotin Pali, Faridabad","Residential Land / Plotin Pali, Faridabad",1800000,100.0,6.71,False
